QOI Diff/Luma, 1311518, 1204680, 8.146133
QOI, 1820608, 1537884, 15.529098
QOI Run, 1820608, 4412347, -142.355686
QOI Diff/Luma, 1820608, 1680415, 7.700340
QOI, 2294191, 2088411, 8.969611
QOI Run, 2294191, 4460109, -94.408792
QOI Diff/Luma, 2294191, 2163298, 5.705410
QOI, 1802239, 1330308, 26.185817
QOI Run, 1802239, 3587867, -99.078313
QOI Diff/Luma, 1802239, 1489310, 17.363346
QOI, 2387803, 1799717, 24.628749
QOI Run, 2387803, 4563148, -91.102365
QOI Diff/Luma, 2387803, 1815429, 23.970738
QOI, 1394034, 1050683, 24.630031
QOI Run, 1394034, 3198295, -129.427331
QOI Diff/Luma, 1394034, 1240056, 11.045498
QOI, 1973335, 1403739, 28.864638
QOI Run, 1973335, 3898647, -97.566404
QOI Diff/Luma, 1973335, 1507497, 23.606635
QOI, 1547098, 1125432, 27.255287
QOI Run, 1547098, 3776336, -144.091583
QOI Diff/Luma, 1547098, 1236779, 20.058135
QOI, 1132145, 939325, 17.031387
QOI Run, 1132145, 2898517, -156.019944
QOI Diff/Luma, 1132145, 1219084, -7.679140
QOI, 2061826, 1464708, 28.960640
QOI Run, 2061826, 4290179, -108.076676
QOI Diff/Luma, 2061826, 1546850, 24.976695
QOI, 1793442, 1264142, 29.513082
QOI Run, 1793442, 3728650, -107.904688
QOI Diff/Luma, 1793442, 1383807, 22.840716
QOI, 2491706, 1723621, 30.825667
QOI Run, 2491706, 4553182, -82.733517
QOI Diff/Luma, 2491706, 1731715, 30.500830
QOI, 866285, 812665, 6.189649
QOI Run, 866285, 2484353, -186.782410
QOI Diff/Luma, 866285, 1130275, -30.473805
QOI, 1519418, 1162317, 23.502486
QOI Run, 1519418, 3606410, -137.354698
QOI Diff/Luma, 1519418, 1305298, 14.092238
QOI, 191437, 166249, 13.157331
QOI Run, 191437, 458424, -139.464680
QOI Diff/Luma, 191437, 985072, -414.567194
QOI, 1610320, 1125468, 30.109047
QOI Run, 1610320, 3693806, -129.383352
QOI Diff/Luma, 1610320, 1243997, 22.748460
QOI, 1305010, 1100986, 15.633903
QOI Run, 1305010, 3188197, -144.304411
QOI Diff/Luma, 1305010, 1289307, 1.203286
QOI, 2082087, 1573443, 24.429527
QOI Run, 2082087, 3947680, -89.602068
QOI Diff/Luma, 2082087, 1763722, 15.290667
QOI, 1623762, 1227175, 24.423961
QOI Run, 1623762, 3360943, -106.984952
QOI Diff/Luma, 1623762, 1404437, 13.507213
QOI, 2490304, 2105347, 15.458233
QOI Run, 2490304, 4422747, -77.598679
QOI Diff/Luma, 2490304, 2148366, 13.730773
QOI, 2247025, 1739424, 22.589913
QOI Run, 2247025, 4310320, -91.823411
QOI Diff/Luma, 2247025, 1783343, 20.635373
QOI, 1670778, 1492431, 10.674488
QOI Run, 1670778, 4482934, -168.314163
QOI Diff/Luma, 1670778, 1752803, -4.909390
QOI, 2336039, 1743094, 25.382496
QOI Run, 2336039, 4450671, -90.522119
QOI Diff/Luma, 2336039, 1786642, 23.518315
QOI, 1508037, 1036845, 31.245387
QOI Run, 1508037, 3283727, -117.748437
QOI Diff/Luma, 1508037, 1214536, 19.462454
QOI, 1617865, 1440855, 10.940962
QOI Run, 1617865, 4413803, -172.816521
QOI Diff/Luma, 1617865, 1588018, 1.844839
QOI, 2393283, 2036844, 14.893308
QOI Run, 2393283, 4424210, -84.859459
QOI Diff/Luma, 2393283, 2076089, 13.253510
QOI, 2355463, 1560396, 33.754171
QOI Run, 2355463, 4370248, -85.536686
QOI Diff/Luma, 2355463, 1582708, 32.806926
QOI, 2134416, 1580453, 25.953844
QOI Run, 2134416, 4349328, -103.771336
QOI Diff/Luma, 2134416, 1619576, 24.120884
QOI, 1208170, 929343, 23.078458
QOI Run, 1208170, 2654523, -119.714361
QOI Diff/Luma, 1208170, 1255840, -3.945637
QOI, 1947789, 1417825, 27.208491
QOI Run, 1947789, 4126827, -111.872385
QOI Diff/Luma, 1947789, 1497918, 23.096496
QOI, 2364330, 1642881, 30.513888
QOI Run, 2364330, 4444673, -87.988690
QOI Diff/Luma, 2364330, 1681355, 28.886619
QOI, 1747981, 1632331, 6.616205
QOI Run, 1747981, 4134053, -136.504459
QOI Diff/Luma, 1747981, 1713156, 1.992299
QOI, 1703383, 1653569, 2.924416
QOI Run, 1703383, 4401938, -158.423267
QOI Diff/Luma, 1703383, 1817554, -6.702603
QOI, 2404237, 1769972, 26.381135
QOI Run, 2404237, 4346901, -80.801685
QOI Diff/Luma, 2404237, 1806553, 24.859612
QOI, 2537616, 1775875, 30.017978
QOI Run, 2537616, 4546405, -79.160480
QOI Diff/Luma, 2537616, 1791529, 29.401099
QOI, 1798508, 1630523, 9.340242
QOI Run, 1798508, 3436413, -91.070209
QOI Diff/Luma, 1798508, 1834276, -1.988760
QOI, 1392532, 1018461, 26.862650
QOI Run, 1392532, 3569358, -156.321435
QOI Diff/Luma, 1392532, 1156212, 16.970526
QOI, 2609229, 2268426, 13.061445
QOI Run, 2609229, 4580632, -75.555001
QOI Diff/Luma, 2609229, 2274620, 12.824056
QOI, 2400506, 1584665, 33.986210
QOI Run, 2400506, 4432476, -84.647570
QOI Diff/Luma, 2400506, 1599633, 33.362674
QOI, 2278848, 1748974, 23.251836
QOI Run, 2278848, 4338562, -90.384001
QOI Diff/Luma, 2278848, 1836456, 19.412967
QOI, 1476331, 1165214, 21.073662
QOI Run, 1476331, 3538225, -139.663395
QOI Diff/Luma, 1476331, 1360281, 7.860703
QOI, 1172555, 1123001, 4.226156
QOI Run, 1172555, 4140323, -253.102669
QOI Diff/Luma, 1172555, 1362043, -16.160265
QOI, 1641704, 1076314, 34.439217
QOI Run, 1641704, 3575267, -117.777809
QOI Diff/Luma, 1641704, 1196940, 27.091607
QOI, 1331637, 1304520, 2.036366
QOI Run, 1331637, 2940170, -120.793655
QOI Diff/Luma, 1331637, 1577578, -18.469072
QOI, 1448246, 1190543, 17.794145
QOI Run, 1448246, 3475640, -139.989615
QOI Diff/Luma, 1448246, 1373361, 5.170738
QOI, 2568173, 2831139, -10.239419
QOI Run, 2568173, 4592149, -78.809956
QOI Diff/Luma, 2568173, 2846812, -10.849697
QOI, 428297, 331543, 22.590399
QOI Run, 428297, 874901, -104.274370
QOI Diff/Luma, 428297, 1081248, -152.452854
QOI, 2260386, 1717705, 24.008333
QOI Run, 2260386, 4548426, -101.223419
QOI Diff/Luma, 2260386, 1855405, 17.916453
QOI, 1075830, 946717, 12.001246
QOI Run, 1075830, 3079132, -186.209903
QOI Diff/Luma, 1075830, 1266300, -17.704470
QOI, 2209099, 1813401, 17.912190
QOI Run, 2209099, 4302217, -94.749851
QOI Diff/Luma, 2209099, 1853847, 16.081307
QOI, 1387616, 1148410, 17.238631
QOI Run, 1387616, 2920202, -110.447415
QOI Diff/Luma, 1387616, 1435846, -3.475745
QOI, 2031214, 1519962, 25.169775
QOI Run, 2031214, 4172714, -105.429561
QOI Diff/Luma, 2031214, 1564407, 22.981675
QOI, 1563091, 1352103, 13.498126
QOI Run, 1563091, 3925089, -151.110716
QOI Diff/Luma, 1563091, 1465655, 6.233546
QOI, 1876327, 1505942, 19.739896
QOI Run, 1876327, 4106051, -118.834510
QOI Diff/Luma, 1876327, 1594386, 15.026219
QOI, 2101221, 1598661, 23.917522
QOI Run, 2101221, 4371427, -108.042229
QOI Diff/Luma, 2101221, 1649953, 21.476465
QOI, 1488764, 1220268, 18.034826
QOI Run, 1488764, 4195258, -181.794697
QOI Diff/Luma, 1488764, 1345425, 9.628054
QOI, 1321772, 1189626, 9.997640
QOI Run, 1321772, 3656959, -176.670939
QOI Diff/Luma, 1321772, 1394055, -5.468644
QOI, 2054422, 1730618, 15.761319
QOI Run, 2054422, 4020114, -95.681024
QOI Diff/Luma, 2054422, 1835988, 10.632382
QOI, 2469813, 2682289, -8.602919
QOI Run, 2469813, 4416880, -78.834592
QOI Diff/Luma, 2469813, 2728893, -10.489863
QOI, 1206921, 1053124, 12.742922
QOI Run, 1206921, 3318989, -174.996375
QOI Diff/Luma, 1206921, 1265158, -4.825254
QOI, 1946761, 1480225, 23.964729
QOI Run, 1946761, 4226115, -117.084429
QOI Diff/Luma, 1946761, 1575953, 19.047433
QOI, 2440716, 1871920, 23.304473
QOI Run, 2440716, 4558821, -86.782116
QOI Diff/Luma, 2440716, 1884267, 22.798597
QOI, 1314978, 1029315, 21.723785
QOI Run, 1314978, 3205847, -143.794725
QOI Diff/Luma, 1314978, 1233045, 6.230751
QOI, 1911243, 1470388, 23.066402
QOI Run, 1911243, 3929382, -105.593009
QOI Diff/Luma, 1911243, 1553551, 18.715150
QOI, 2146240, 1702961, 20.653748
QOI Run, 2146240, 4483575, -108.903711
QOI Diff/Luma, 2146240, 1740538, 18.902919
QOI, 1507757, 1274725, 15.455541
QOI Run, 1507757, 3951530, -162.080030
QOI Diff/Luma, 1507757, 1388955, 7.879386
QOI, 2591786, 2070209, 20.124231
QOI Run, 2591786, 4587724, -77.010139
QOI Diff/Luma, 2591786, 2075422, 19.923096
QOI, 1953359, 1422829, 27.159882
QOI Run, 1953359, 4432350, -126.909134
QOI Diff/Luma, 1953359, 1494718, 23.479606
QOI, 1821482, 1292779, 29.025980
QOI Run, 1821482, 3979783, -118.491481
QOI Diff/Luma, 1821482, 1384021, 24.016762
QOI, 2177203, 1729400, 20.567811
QOI Run, 2177203, 4356436, -100.093239
QOI Diff/Luma, 2177203, 1791407, 17.719799
QOI, 1332601, 1027398, 22.902804
QOI Run, 1332601, 3550605, -166.441718
QOI Diff/Luma, 1332601, 1140048, 14.449411
QOI, 2180979, 1530025, 29.846872
QOI Run, 2180979, 4443591, -103.742952
QOI Diff/Luma, 2180979, 1561322, 28.411874
QOI, 1434609, 933426, 34.935164
QOI Run, 1434609, 3087415, -115.209510
QOI Diff/Luma, 1434609, 1187232, 17.243514
QOI, 1924283, 1466237, 23.803463
QOI Run, 1924283, 3985179, -107.099424
QOI Diff/Luma, 1924283, 1554359, 19.223991
QOI, 1923397, 1537666, 20.054674
QOI Run, 1923397, 3810065, -98.090410
QOI Diff/Luma, 1923397, 1674955, 12.916834
QOI, 1391164, 1171970, 15.756158
QOI Run, 1391164, 3744527, -169.165030
QOI Diff/Luma, 1391164, 1300117, 6.544663
QOI, 2129025, 1685319, 20.840807
QOI Run, 2129025, 4220782, -98.249527
QOI Diff/Luma, 2129025, 1740885, 18.230880
QOI, 2432090, 1831367, 24.699867
QOI Run, 2432090, 4435772, -82.385191
QOI Diff/Luma, 2432090, 1862565, 23.417102
QOI, 1363526, 1128151, 17.262230
QOI Run, 1363526, 3621849, -165.623758
QOI Diff/Luma, 1363526, 1275095, 6.485465
QOI, 1720043, 1358139, 21.040404
QOI Run, 1720043, 3498395, -103.389973
QOI Diff/Luma, 1720043, 1513411, 12.013188
QOI, 2279448, 1940159, 14.884700
QOI Run, 2279448, 4483370, -96.686654
QOI Diff/Luma, 2279448, 1963951, 13.840939
QOI, 1166789, 823703, 29.404288
QOI Run, 1166789, 2523493, -116.276722
QOI Diff/Luma, 1166789, 1201327, -2.960090
QOI, 1820150, 1448747, 20.405077
QOI Run, 1820150, 4067910, -123.493119
QOI Diff/Luma, 1820150, 1536537, 15.581848
QOI, 1654716, 1210604, 26.839168
QOI Run, 1654716, 3853126, -132.857240
QOI Diff/Luma, 1654716, 1315920, 20.474571
QOI, 1619382, 1273081, 21.384763
QOI Run, 1619382, 3777278, -133.254291
QOI Diff/Luma, 1619382, 1415048, 12.618023
QOI, 1365302, 1067812, 21.789318
QOI Run, 1365302, 3354713, -145.712157
QOI Diff/Luma, 1365302, 1264649, 7.372215
QOI, 588818, 477945, 18.829757
QOI Run, 588818, 1494351, -153.788267
QOI Diff/Luma, 588818, 1058591, -79.782378
QOI, 1552604, 1175568, 24.284106
QOI Run, 1552604, 3456029, -122.595652
QOI Diff/Luma, 1552604, 1335850, 13.960675
QOI, 2617121, 2312901, 11.624224
QOI Run, 2617121, 4546272, -73.712717
QOI Diff/Luma, 2617121, 2325891, 11.127877
QOI, 2207063, 1622596, 26.481664
QOI Run, 2207063, 4345039, -96.869731
QOI Diff/Luma, 2207063, 1652087, 25.145453
QOI, 2013681, 1463707, 27.311873
QOI Run, 2013681, 4197998, -108.473835
QOI Diff/Luma, 2013681, 1532415, 23.899813
QOI, 2244105, 1847725, 17.663166
QOI Run, 2244105, 4398767, -96.014313
QOI Diff/Luma, 2244105, 1881601, 16.153611
QOI, 1248505, 1035376, 17.070737
QOI Run, 1248505, 2565638, -105.496814
QOI Diff/Luma, 1248505, 1386605, -11.061229
QOI, 1338534, 1028712, 23.146368
QOI Run, 1338534, 3189839, -138.308403
QOI Diff/Luma, 1338534, 1281798, 4.238667
QOI, 1978731, 1639179, 17.160089
QOI Run, 1978731, 3797027, -91.892026
QOI Diff/Luma, 1978731, 1767494, 10.675377
QOI, 1481874, 1197554, 19.186517
QOI Run, 1481874, 4043999, -172.897628
QOI Diff/Luma, 1481874, 1478602, 0.220801
QOI, 2607178, 2171463, 16.712131
QOI Run, 2607178, 4597564, -76.342544
QOI Diff/Luma, 2607178, 2173865, 16.620001
QOI, 2639700, 2084017, 21.050991
QOI Run, 2639700, 4557961, -72.669659
QOI Diff/Luma, 2639700, 2097779, 20.529644
QOI, 2321521, 1686785, 27.341385
QOI Run, 2321521, 4433318, -90.966095
QOI Diff/Luma, 2321521, 1720650, 25.882643
QOI, 1990123, 1397661, 29.770120
QOI Run, 1990123, 4014189, -101.705573
QOI Diff/Luma, 1990123, 1455038, 26.887032
QOI, 629438, 590920, 6.119427
QOI Run, 629438, 1749667, -177.972890
QOI Diff/Luma, 629438, 1115633, -77.242715
QOI, 1790721, 1445044, 19.303789
QOI Run, 1790721, 3883985, -116.895038
QOI Diff/Luma, 1790721, 1534987, 14.281063
